Date,Open,High,Low,Close,Adj Close,Volume
2020-04-16,19311.300781,19362.169922,19154.410156,19290.199219,19290.199219,81400
2020-04-17,19575.849609,19922.070313,19554.699219,19897.259766,19897.259766,87800
2020-04-20,19689.849609,19784.380859,19611.789063,19669.119141,19669.119141,65000
2020-04-21,19479.830078,19529.060547,19193.220703,19280.779297,19280.779297,79400
2020-04-22,19109.179688,19137.949219,18858.250000,19137.949219,19137.949219,76400
2020-04-23,19313.039063,19429.439453,19221.539063,19429.439453,19429.439453,72600
2020-04-24,19331.859375,19352.240234,19175.380859,19262.000000,19262.000000,84700
2020-04-27,19410.839844,19819.060547,19410.179688,19783.220703,19783.220703,77600
2020-04-28,19776.179688,19841.779297,19638.480469,19771.189453,19771.189453,68600
2020-04-30,20105.679688,20365.890625,20084.830078,20193.689453,20193.689453,103400
2020-05-01,19991.970703,20000.250000,19551.730469,19619.349609,19619.349609,86600
2020-05-07,19468.519531,19720.869141,19448.929688,19674.769531,19674.769531,82900
2020-05-08,19972.089844,20179.089844,19894.580078,20179.089844,20179.089844,82200
2020-05-11,20333.730469,20534.880859,20285.039063,20390.660156,20390.660156,76200
2020-05-12,20413.230469,20457.369141,20293.970703,20366.480469,20366.480469,67700
2020-05-13,20140.919922,20329.890625,20056.460938,20267.050781,20267.050781,79500
2020-05-14,20140.490234,20185.000000,19902.929688,19914.779297,19914.779297,76900
2020-05-15,20149.789063,20198.250000,19832.880859,20037.470703,20037.470703,75200
2020-05-18,20097.619141,20197.589844,19999.099609,20133.730469,20133.730469,71900
2020-05-19,20469.519531,20659.460938,20433.449219,20433.449219,20433.449219,93000
2020-05-20,20454.490234,20684.460938,20454.029297,20595.150391,20595.150391,71800
2020-05-21,20692.589844,20734.910156,20503.869141,20552.310547,20552.310547,62900
2020-05-22,20583.949219,20615.119141,20334.990234,20388.160156,20388.160156,71100
2020-05-25,20653.410156,20741.650391,20584.060547,20741.650391,20741.650391,55100
2020-05-26,20927.960938,21328.339844,20918.109375,21271.169922,21271.169922,87200
2020-05-27,21249.310547,21475.679688,21142.720703,21419.230469,21419.230469,112000
2020-05-28,21612.900391,21926.289063,21580.500000,21916.310547,21916.310547,134000
2020-05-29,21807.630859,21955.439453,21710.800781,21877.890625,21877.890625,153200
2020-06-01,21910.890625,22161.390625,21898.990234,22062.390625,22062.390625,72200
2020-06-02,22175.519531,22401.789063,22118.400391,22325.609375,22325.609375,77900
2020-06-03,22649.009766,22818.869141,22462.679688,22613.759766,22613.759766,94100
2020-06-04,22885.140625,22907.919922,22501.810547,22695.740234,22695.740234,92000
2020-06-05,22613.080078,22865.880859,22563.560547,22863.730469,22863.730469,85600
2020-06-08,23121.980469,23178.099609,23028.619141,23178.099609,23178.099609,108500
2020-06-09,23135.789063,23185.849609,22933.140625,23091.029297,23091.029297,91500
2020-06-10,22939.000000,23175.820313,22900.300781,23124.949219,23124.949219,75600
2020-06-11,22848.019531,22939.390625,22466.539063,22472.910156,22472.910156,105900
2020-06-12,22082.119141,22350.300781,21786.929688,22305.480469,22305.480469,120500
2020-06-15,22135.269531,22251.830078,21529.830078,21530.949219,21530.949219,78500
2020-06-16,21912.289063,22624.140625,21899.480469,22582.210938,22582.210938,100100
2020-06-17,22517.140625,22536.380859,22318.070313,22455.759766,22455.759766,72500
2020-06-18,22363.880859,22432.250000,22125.349609,22355.460938,22355.460938,65200
2020-06-19,22515.750000,22523.660156,22352.160156,22478.789063,22478.789063,97000
2020-06-22,22353.689453,22575.740234,22311.939453,22437.269531,22437.269531,54600
2020-06-23,22636.060547,22693.890625,22257.140625,22549.050781,22549.050781,0
2020-06-24,22541.009766,22663.289063,22479.859375,22534.320313,22534.320313,67000
2020-06-25,22287.869141,22423.410156,22165.140625,22259.789063,22259.789063,80800
2020-06-26,22424.369141,22589.140625,22408.269531,22512.080078,22512.080078,66600
2020-06-29,22255.050781,22281.380859,21969.589844,21995.039063,21995.039063,73700
2020-06-30,22335.099609,22448.300781,22273.380859,22288.140625,22288.140625,74200
2020-07-01,22338.300781,22360.310547,22039.560547,22121.730469,22121.730469,67400
2020-07-02,22182.679688,22267.509766,22072.109375,22145.960938,22145.960938,73600
2020-07-03,22266.910156,22312.439453,22154.970703,22306.480469,22306.480469,51700
2020-07-06,22341.269531,22734.109375,22325.750000,22714.439453,22714.439453,58000
2020-07-07,22649.900391,22742.279297,22540.439453,22614.689453,22614.689453,62700
2020-07-08,22481.609375,22667.949219,22438.650391,22438.650391,22438.650391,64900
2020-07-09,22442.300781,22679.080078,22434.380859,22529.289063,22529.289063,65200
2020-07-10,22534.970703,22563.679688,22285.070313,22290.810547,22290.810547,78800
2020-07-13,22591.810547,22784.740234,22561.470703,22784.740234,22784.740234,71200
2020-07-14,22631.869141,22677.019531,22538.779297,22587.009766,22587.009766,61000
2020-07-15,22817.910156,22965.560547,22800.109375,22945.500000,22945.500000,72600
2020-07-16,22907.960938,22925.900391,22739.419922,22770.359375,22770.359375,89400
2020-07-17,22807.570313,22857.820313,22643.519531,22696.419922,22696.419922,55900
2020-07-20,22772.070313,22788.529297,22580.189453,22717.480469,22717.480469,50000
2020-07-21,22789.380859,22925.580078,22780.220703,22884.220703,22884.220703,68600
2020-07-22,22791.750000,22855.310547,22732.919922,22751.609375,22751.609375,65400
2020-07-27,22495.949219,22741.130859,22429.570313,22715.849609,22715.849609,71800
2020-07-28,22735.019531,22842.189453,22646.220703,22657.380859,22657.380859,67800
2020-07-29,22543.890625,22584.869141,22366.339844,22397.109375,22397.109375,74300
2020-07-30,22489.240234,22506.599609,22334.710938,22339.230469,22339.230469,77800
2020-07-31,22267.589844,22295.050781,21710.000000,21710.000000,21710.000000,106600
2020-08-03,21947.580078,22214.589844,21919.830078,22195.380859,22195.380859,84000
2020-08-04,22379.740234,22603.820313,22379.740234,22573.660156,22573.660156,89100
2020-08-05,22479.720703,22554.199219,22356.250000,22514.849609,22514.849609,74000
2020-08-06,22471.710938,22587.750000,22362.890625,22418.150391,22418.150391,62600
2020-08-07,22433.779297,22436.160156,22204.609375,22329.939453,22329.939453,66700
2020-08-11,22505.509766,22760.869141,22497.070313,22750.240234,22750.240234,99300
2020-08-12,22747.439453,22874.369141,22670.740234,22843.960938,22843.960938,90800
2020-08-13,23123.359375,23316.689453,23111.500000,23249.609375,23249.609375,84800
2020-08-14,23323.919922,23338.789063,23222.849609,23289.359375,23289.359375,59800
2020-08-17,23189.480469,23248.750000,23068.529297,23096.750000,23096.750000,43600
2020-08-18,23097.800781,23128.179688,22948.890625,23051.080078,23051.080078,55600
2020-08-19,22997.929688,23149.849609,22953.599609,23110.609375,23110.609375,50100
2020-08-20,23003.580078,23078.359375,22851.830078,22880.619141,22880.619141,50200
2020-08-21,23022.759766,23135.429688,22920.300781,22920.300781,22920.300781,51200
2020-08-24,22913.199219,23012.710938,22862.539063,22985.509766,22985.509766,40600
2020-08-25,23242.740234,23431.039063,23225.390625,23296.769531,23296.769531,75300
2020-08-26,23257.050781,23348.800781,23203.000000,23290.859375,23290.859375,47800
2020-08-27,23311.039063,23323.070313,23177.849609,23208.859375,23208.859375,52700
2020-08-28,23232.300781,23376.130859,22594.789063,22882.650391,22882.650391,98100
2020-08-31,23147.140625,23342.320313,23102.609375,23139.759766,23139.759766,81000
2020-09-01,23089.630859,23206.660156,23047.769531,23138.070313,23138.070313,59600
2020-09-02,23261.089844,23287.400391,23170.820313,23247.150391,23247.150391,52600
2020-09-03,23524.490234,23580.509766,23426.109375,23465.529297,23465.529297,57500
2020-09-04,23130.320313,23257.689453,23098.769531,23205.429688,23205.429688,59300
2020-09-07,23145.470703,23218.220703,23086.890625,23089.949219,23089.949219,57300
2020-09-08,23188.789063,23277.660156,23129.660156,23274.130859,23274.130859,62100
2020-09-09,22966.890625,23059.019531,22878.710938,23032.539063,23032.539063,84400
2020-09-10,23193.470703,23250.310547,23134.019531,23235.470703,23235.470703,67600
2020-09-11,23114.630859,23412.929688,23114.630859,23406.490234,23406.490234,76900
2020-09-14,23431.160156,23582.210938,23429.419922,23559.300781,23559.300781,65400
2020-09-15,23438.830078,23477.859375,23351.349609,23454.890625,23454.890625,61800
2020-09-16,23425.230469,23506.449219,23397.429688,23475.529297,23475.529297,63000
2020-09-17,23416.619141,23446.390625,23272.230469,23319.369141,23319.369141,61100
2020-09-18,23321.189453,23398.460938,23290.189453,23360.300781,23360.300781,82600
2020-09-23,23245.890625,23370.130859,23154.449219,23346.490234,23346.490234,77000
2020-09-24,23215.000000,23234.720703,23039.480469,23087.820313,23087.820313,70500
2020-09-25,23217.330078,23272.669922,23154.660156,23204.619141,23204.619141,72200
2020-09-28,23391.960938,23516.039063,23303.029297,23511.619141,23511.619141,82000
2020-09-29,23410.500000,23622.740234,23347.640625,23539.099609,23539.099609,61300
2020-09-30,23478.849609,23522.380859,23170.890625,23185.119141,23185.119141,88200
2020-10-01,23184.929688,23184.929688,23184.929688,23184.929688,23184.929688,0
2020-10-02,23294.800781,23365.580078,22951.410156,23029.900391,23029.900391,86300
2020-10-05,23254.279297,23377.429688,23252.689453,23312.140625,23312.140625,59500
2020-10-06,23420.070313,23441.160156,23331.400391,23433.730469,23433.730469,57700
2020-10-07,23272.449219,23432.730469,23272.449219,23422.820313,23422.820313,52100
2020-10-08,23506.339844,23701.769531,23477.730469,23647.070313,23647.070313,56300
2020-10-09,23713.859375,23725.580078,23552.730469,23619.689453,23619.689453,56100
2020-10-12,23588.740234,23597.910156,23501.259766,23558.689453,23558.689453,44900
2020-10-13,23667.900391,23667.900391,23490.949219,23601.779297,23601.779297,47200
2020-10-14,23545.660156,23656.699219,23518.810547,23626.730469,23626.730469,54000
2020-10-15,23548.449219,23581.160156,23458.429688,23507.230469,23507.230469,48300
2020-10-16,23478.400391,23538.740234,23382.669922,23410.630859,23410.630859,48100
2020-10-19,23543.689453,23707.160156,23543.689453,23671.130859,23671.130859,46300
2020-10-20,23587.869141,23674.869141,23518.289063,23567.039063,23567.039063,48700
2020-10-21,23615.519531,23702.300781,23611.330078,23639.460938,23639.460938,53300
2020-10-22,23525.589844,23555.779297,23436.169922,23474.269531,23474.269531,44900
2020-10-23,23558.710938,23587.900391,23469.130859,23516.589844,23516.589844,49200
2020-10-26,23520.779297,23572.599609,23475.519531,23503.460938,23503.460938,0
